uperDst	cos_0.1	cos_0.2	cos_0.3	cos_0.4	cos_0.5	cos_0.6	cos_0.7	cos_0.8	cos_0.9	cos_1
0.75	9.5000968	9.2150834	9.2111507	8.7784602	9.1648079	9.2267030	9.9817712	9.9876954	10.8047703	11.3892298
1.5	8.4477554	9.0460683	8.6679590	8.6209808	8.7762748	8.9916968	9.6179994	9.4939722	9.9038964	10.5558600
2	7.8141432	8.2755763	8.1866068	8.2373143	8.1559852	8.4498209	9.0030325	8.7795115	9.0775982	9.7273517
2.5	7.5161672	7.6815552	7.8252364	7.7936590	7.8868763	8.0317650	7.9041945	7.8916767	8.4621786	9.3564724
3	6.9783147	6.9430780	7.0792177	7.0496508	7.2130628	6.9387490	7.6369682	7.4002162	8.2437240	8.8055852
3.5	6.3371988	6.5104504	6.3573742	6.7306676	6.6413358	6.6849430	6.8452110	6.9654034	7.5842098	8.3099564
4	5.7349974	5.7765639	5.8748812	6.0784692	6.0241775	5.9364848	6.1651892	6.3006366	6.9598518	7.8737373
5	5.1158155	5.0216495	5.1565750	5.1042652	5.1409311	5.1086908	5.3135042	5.3295304	5.9089508	6.5131723
6	4.2339950	4.1579477	4.2072816	4.1545902	4.1268607	4.0733680	4.1397089	4.3002757	4.5780506	5.1648693
7	3.3402691	3.3051325	3.2959875	3.2604524	3.2923694	3.1788671	3.3597759	3.3540965	3.5763724	3.9758503
8	2.4951604	2.5209842	2.5230584	2.4695041	2.4827559	2.4958936	2.5324796	2.4788945	2.5714086	3.0338758
9	1.8023931	1.7810947	1.7067576	1.7753591	1.7528986	1.7514670	1.7908268	1.7147870	1.7659162	2.1119054
10	1.2320409	1.2490218	1.1505605	1.1536065	1.1053764	1.0909558	1.1121134	1.0739800	1.2132953	1.3623145
12	0.4010300	0.4058603	0.3648134	0.4452928	0.3405715	0.3381995	0.2800829	0.2572391	0.3097587	0.4609513
14	-0.2326874	-0.2849125	-0.3366610	-0.3412052	-0.4036126	-0.4496231	-0.4104646	-0.4949281	-0.4862789	-0.3438564
16	-0.7206423	-0.7371879	-0.7915987	-0.9132957	-0.8658745	-0.9299146	-0.9380608	-0.9495749	-0.9490015	-0.8925058
20	-1.2077537	-1.2242914	-1.2328210	-1.3177789	-1.3345851	-1.3816964	-1.3994389	-1.3558559	-1.3667783	-1.3141325
25	-1.6459045	-1.6726848	-1.6980759	-1.7561828	-1.7913629	-1.8785404	-1.8741873	-1.9195426	-1.9394109	-1.9379713
30	-2.5177772	-2.5453492	-2.5397235	-2.5457632	-2.6068127	-2.6859463	-2.6632689	-2.7018470	-2.7817379	-2.9122765
40	-3.9600904	-4.0313876	-4.0721180	-4.1473514	-4.3300299	-4.4200534	-4.5079151	-4.7940515	-4.8332129	-5.0856725
500	-9.9210382	-10.0876300	-10.0554347	-10.1026820	-10.0868241	-9.9122019	-10.0799576	-9.9519788	-10.0536078	-10.1287589
